vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
额角头(額角頭),額角頭,运气(運氣),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
儿子(兒子),伲子,儿子(兒子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
饭瓜(飯瓜),飯瓜,[植物]南瓜([植物]南瓜),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
痱子(痱子),培子,痱子(痱子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
伏日旺(伏日旺),孵日旺,晒太阳(曬太陽),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
佛(佛),佛,你们(你們),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
搞七念三(搞七念三),搞七念三,胡闹(胡鬧),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
咯络头(咯絡頭),咯絡頭,上当、受骗、吃批评(上當、受騙、吃批評),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
狗屄倒灶(狗屄倒灶),狗比倒灶,吝啬(吝嗇),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
棺材(棺材),棺材,"据说大场原有姓章的棺材店，棺材的户头较一般的好，后遂戏呼人好老实为棺材，以后棺材代人称，有戆棺材寿棺材等,成为口头禅。(據說大場原有姓章的棺材店，棺材的戶頭較一般的好，後遂戲呼人好老實爲棺材，以後棺材代人稱，有戇棺材壽棺材等,成爲口頭禪。)",/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
豪𢜶(豪𢜶),號燥,快(快),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
横势横(橫勢橫),橫豎橫,不顾一切(不顧一切),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
横势横拆牛棚(橫勢橫拆牛棚),橫死橫拆牛棚,不顾一切(不顧一切),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
横竖(橫豎),橫豎,反正(反正),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
轰声恁(轟聲恁),轟聲恁,突然(突然),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
花路势(花路勢),花路勢,花样、办法(花樣、辦法),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
花头经(花頭經),花頭經,花招(花招),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
矆睒(矆睒),霍險,闪电(閃電),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
几许(幾許),幾好,多少(多少),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
家生(家生),家生,家具(傢俱),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
交关(交關),交關,许多(許多),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
交关(交關),交關,很、多(很、多),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
脚馒头(腳饅頭),腳饅頭,膝盖(膝蓋),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
结棍(結棍),結棍,厉害(厲害),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
结棍(結棍),結棍,厉害(厲害),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
金窝银窝勿如自家狗窝(金窩銀窩勿如自家狗窩),金窩銀窩不如自家狗窩,自家总比别人家好(自家總比別人家好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
九勒江爽勒堂(九勒江爽勒堂),九勒江爽勒堂,干脆(乾脆),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
绢头(絹頭),絹頭,手帕(手帕),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
老虫(老蟲),老蟲,老鼠(老鼠),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
老爹、公公(老爹、公公),老爹、公公,祖父(祖父),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
老忌(老忌),老忌,纪念死去人的周年(紀念死去人的周年),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇【散记】,TRUE,baoshan,baoshan_dachang
骂山门(罵山門),罵山門,谩骂(謾罵),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
眯细眼(眯細眼),眯細眼,近视眼(近視眼),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
模子(模子),模子,体型(體型),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
模子(模子),磨子,体型(體型),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
姆妈(姆媽),姆媽,母亲(母親),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
木噱噱(木噱噱),木噱噱,迟钝、不灵活(遲鈍、不靈活),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
哪恁(哪恁),那恁,怎样(怎樣),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
那蟆温(那蟆溫),那摩溫,蝌蚪(蝌蚪),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
囡儿(囡兒),囡五,女儿(女兒),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
男贪嘴吃酒，女贪嘴显灶(男貪嘴吃酒，女貪嘴顯灶),男貪嘴吃酒，女貪嘴顯灶,显灶为旧俗在每年一月六月有三天初三、十三、廿三做图团、场饼，称三显灶。(顯灶爲舊俗在每年一月六月有三天初三、十三、廿三做圖團、場餅，稱三顯灶。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
难末(難末),乃末,那么(那麼),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
侬(儂),儂,你(你),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
乓乓响(乓乓響),乓乓響,好得很(好得很),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
泡汤(泡湯),泡湯,落空、完蛋(落空、完蛋),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
踫踫(踫踫),踫踫,动不动(動不動),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
譬如勿是(譬如勿是),譬如勿是,比没有好些(比沒有好些),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
牵丝扳凳(牽絲扳凳),牽絲板凳,爽快(爽快),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
掮木梢(掮木梢),掮木梢,吃亏(吃虧),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
跷脚(蹺腳),蹺腳,拐脚(拐腳),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
翘辫子(翹辮子),翹辮子,人死了(人死了),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
亲妈、阿奶、老姆妈(親媽、阿奶、老姆媽),親媽、阿奶、老姆媽,祖母(祖母),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
蛐蟮(蛐蟮),蛐蟮,蚯蚓(蚯蚓),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
孃孃(孃孃),孃孃,姑母(姑母),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
痧子(痧子),痧子,麻疹(麻疹),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
上昼(上晝),上晝,上午(上午),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
生活(生活),省活,做工、种田、事(做工、種田、事),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
收骨头(收骨頭),收骨頭,严格(嚴格),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
寿头八气(壽頭八氣),壽頭八欠,语言行为惹人发笑(語言行爲惹人發笑),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
衰瘏(衰瘏),灑度,吃力、疲劳(吃力、疲勞),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
衰瘏(衰瘏),耍陀,吃力(吃力),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
爽气(爽氣),爽氣,直率(直率),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
爽气(爽氣),爽氣,直率(直率),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
死血(死血),死血,冻疮(凍瘡),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
死样怪气(死樣怪氣),死樣怪氣,不起劲、没精神(不起勁、沒精神),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
死样怪气(死樣怪氣),死樣怪氣,不起劲，没精神(不起勁，沒精神),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
胎本(胎本),坦本,体质(體質),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
汤(湯),湯,茶、白开水(茶、白開水),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
田鸡(田雞),田雞,青蛙(青蛙),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
挺括(挺括),挺刮,质地好(質地好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
偷籽眼(偷籽眼),偷珠眼,麦粒肿眼疾(麥粒腫眼疾),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
��五𧺢六(𧺢五𧺢六),投五投六,莽撞、瞎忙(莽撞、瞎忙),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
推扳(推扳),推般,差、不好(差、不好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
推扳(推扳),推般,差劲、不好(差勁、不好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
脱底棺材(脫底棺材),脫底棺材,滥吃滥用的人(濫吃濫用的人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
旺日头(旺日頭),旺日頭,晴天(晴天),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
乌搞百叶结(烏搞百葉結),烏搞百葉結,搞不清(搞不清),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
五、实五(五、實五),五、實五,我(我),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
五伲(五伲),五伲,我们(我們),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
勿来三(勿來三),勿來三,无能、不行(無能、不行),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
勿适意(勿適意),勿適意,有病(有病),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
物事(物事),物事,东西(東西),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
下昼(下晝),下晝,下午(下午),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
下作坯(下作坯),下作坯,下流(下流),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
涎唾(涎唾),涎唾,口水、唾液(口水、唾液),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
小八腊子(小八臘子),小八辣子,没有地位的人(沒有地位的人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
小寒豆(小寒豆),小寒豆,豌豆(豌豆),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
小囡(小囡),小囡,孩子(孩子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
行情行市(行情行市),行情行市,很多(很多),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
寻呴势(尋呴勢),尋吼勢,找茬子、寻衅(找茬子、尋釁),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
药匙团(藥匙團),藥樹團,蝉(蟬),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
爷有娘有勿及自有(爺有娘有勿及自有),爺有娘有不及自有,自家有了比什么都好(自家有了比什麼都好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
野野胡(野野胡),牙牙烏,马马虎虎(馬馬虎虎),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
野野胡(野野胡),牙牙烏,马虎(馬虎),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
夜快洞、夜快头(夜快洞、夜快頭),夜快洞、夜快頭,傍晚(傍晚),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
一级(一級),一級,最好、好极(最好、好極),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
一家头(一家頭),一家頭,一个人(一個人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
一上浪(一上浪),一上浪,一下子(一下子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
一天世界(一天世界),一天世界,乱七八糟(亂七八糟),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
一桌堆(一桌堆),一桌堆,聚在一起(聚在一起),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
伊、实伊(伊、實伊),伊、實伊,他(他),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
伊拉、实伊拉(伊拉、實伊拉),伊拉、實伊拉,他们(他們),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
乙搭(乙搭),乙搭,那里(那裏),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
乙眼(乙眼),乙眼,那些(那些),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
有心想(有心想),有心相,耐心好(耐心好),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
扎劲(扎勁),紮勁,起劲(起勁),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
长发头浪(長發頭浪),長發頭浪,发育时期(發育時期),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
丈姆娘(丈姆娘),丈姆娘,岳母(岳母),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
丈人(丈人),丈人,岳父(岳父),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
汁水(汁水),汁水,荤、素菜汤(葷、素菜湯),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
种气(種氣),種氣,遗传(遺傳),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
种气(種氣),種氣,遗传(遺傳),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
猪头三(豬頭三),豬頭三,不识好歹的人(不識好歹的人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
逐眼(逐眼),逐眼,逐步(逐步),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
自来火(自來火),自來火,火柴(火柴),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
作孽八辣(作孽八辣),作孽八辣,很可怜(很可憐),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
做老忌(做老忌),做老忌,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇【散记】,TRUE,baoshan,baoshan_dachang
做人家(做人家),做人家,勤俭、节约(勤儉、節約),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
阿爸、阿爹(阿爸、阿爹),阿爸、阿爹,父亲(父親),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
懊憦(懊憦),懊老,后悔、懊恼(後悔、懊惱),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
巴结、做人家(巴結、做人家),做人家、把結,勤俭、节约(勤儉、節約),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
百脚(百腳),百腳,蜈蚣(蜈蚣),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
菜啧水(菜嘖水),菜嘖水,菜汤(菜湯),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
吃生活(吃生活),吃生活,挨打(挨打),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
痴子、神经病(癡子、神經病),癡子、神經病,病人(病人),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
怠慢(怠慢),怠慢,照应不周到(照應不周到),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
当中横里(當中橫裏),當中橫裏,中间(中間),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
迭个(迭個),迭個,这个(這個),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
迭个辰光(迭個辰光),迭個晨光,现在(現在),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
迭恁(迭恁),迪能,这样(這樣),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
迭腔(迭腔),迭槍,最近(最近),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
肚皮射(肚皮射),肚皮柴,腹泻(腹瀉),/呒啥啥/,/呒啥啥/,嘉定片,宝山·葑塘,蛮洞生产队纪念册,TRUE,baoshan,baoshan_fengtang
